episode,run0,run1,run2,run3,run4
1,7.0,3.0,6.0,3.0,3.0
2,3.0,8.0,6.0,2.0,3.0
3,6.0,2.0,5.0,3.0,4.0
4,13.0,3.0,7.0,7.0,3.0
5,6.0,2.0,5.0,9.0,9.0
6,7.0,2.0,10.0,13.0,3.0
7,3.0,5.0,4.0,8.0,3.0
8,2.0,6.0,4.0,5.0,15.0
9,2.0,13.0,2.0,2.0,14.0
10,4.0,4.0,16.0,4.0,10.0
11,3.0,4.0,10.0,12.0,7.0
12,2.0,2.0,25.0,4.0,3.0
13,8.0,5.0,6.0,4.0,2.0
14,9.0,3.0,4.0,14.0,8.0
15,8.0,7.0,9.0,3.0,13.0
16,29.0,8.0,3.0,18.0,18.0
17,30.0,5.0,12.0,28.0,13.0
18,9.0,2.0,14.0,17.0,20.0
19,9.0,4.0,11.0,10.0,7.0
20,28.0,4.0,22.0,3.0,29.0
21,5.0,4.0,4.0,19.0,29.0
22,10.0,5.0,8.0,3.0,5.0
23,4.0,5.0,14.0,9.0,2.0
24,6.0,7.0,21.0,3.0,6.0
25,2.0,11.0,11.0,3.0,3.0
26,24.0,3.0,4.0,10.0,40.0
27,23.0,9.0,2.0,13.0,6.0
28,26.0,3.0,8.0,6.0,9.0
29,27.0,4.0,7.0,33.0,14.0
30,23.0,9.0,5.0,22.0,10.0
31,7.0,3.0,11.0,3.0,9.0
32,37.0,3.0,13.0,11.0,9.0
33,11.0,5.0,32.0,6.0,33.0
34,5.0,5.0,19.0,39.0,19.0
35,28.0,6.0,19.0,2.0,45.0
36,15.0,5.0,19.0,2.0,27.0
37,26.0,4.0,5.0,20.0,38.0
38,19.0,3.0,5.0,12.0,44.0
39,26.0,7.0,11.0,21.0,20.0
40,29.0,5.0,8.0,39.0,7.0
41,35.0,19.0,9.0,31.0,43.0
42,19.0,7.0,7.0,15.0,26.0
43,48.0,27.0,55.0,32.0,9.0
44,28.0,5.0,15.0,46.0,52.0
45,22.0,6.0,28.0,12.0,27.0
46,37.0,4.0,28.0,27.0,53.0
47,19.0,10.0,49.0,29.0,26.0
48,28.0,25.0,13.0,15.0,26.0
49,43.0,24.0,43.0,34.0,41.0
50,30.0,28.0,25.0,21.0,33.0
51,13.0,21.0,35.0,31.0,52.0
52,17.0,7.0,43.0,32.0,31.0
53,64.0,22.0,14.0,15.0,59.0
54,78.0,40.0,25.0,45.0,39.0
55,27.0,3.0,23.0,37.0,53.0
56,15.0,23.0,23.0,35.0,36.0
57,52.0,21.0,38.0,39.0,46.0
58,33.0,59.0,9.0,29.0,56.0
59,21.0,36.0,17.0,30.0,97.0
60,28.0,42.0,21.0,37.0,135.0
61,22.0,20.0,43.0,36.0,114.0
62,49.0,45.0,29.0,34.0,91.0
63,60.0,36.0,37.0,20.0,53.0
64,102.0,27.0,74.0,21.0,56.0
65,86.0,33.0,39.0,24.0,16.0
66,123.0,28.0,18.0,29.0,89.0
67,197.0,40.0,39.0,26.0,80.0
68,102.0,43.0,43.0,27.0,69.0
69,76.0,44.0,47.0,38.0,64.0
70,62.0,66.0,22.0,36.0,69.0
71,112.0,49.0,40.0,39.0,68.0
72,63.0,58.0,71.0,37.0,63.0
73,50.0,65.0,54.0,50.0,69.0
74,12.0,59.0,73.0,49.0,68.0
75,90.0,96.0,54.0,48.0,72.0
76,62.0,97.0,73.0,4.0,76.0
77,91.0,54.0,51.0,19.0,74.0
78,17.0,46.0,13.0,24.0,88.0
79,46.0,44.0,54.0,3.0,74.0
80,83.0,24.0,72.0,25.0,85.0
81,66.0,61.0,66.0,46.0,71.0
82,55.0,50.0,102.0,46.0,68.0
83,101.0,18.0,60.0,54.0,71.0
84,78.0,48.0,54.0,51.0,74.0
85,63.0,27.0,44.0,56.0,172.0
86,68.0,37.0,15.0,43.0,80.0
87,71.0,29.0,54.0,42.0,29.0
88,54.0,29.0,73.0,39.0,191.0
89,61.0,26.0,71.0,52.0,231.0
90,80.0,31.0,84.0,46.0,223.0
91,86.0,28.0,53.0,48.0,81.0
92,64.0,2.0,57.0,50.0,128.0
93,91.0,39.0,58.0,52.0,215.0
94,52.0,36.0,49.0,54.0,167.0
95,77.0,23.0,96.0,46.0,29.0
96,63.0,64.0,68.0,53.0,171.0
97,78.0,23.0,50.0,58.0,156.0
98,56.0,31.0,60.0,51.0,68.0
99,64.0,29.0,55.0,57.0,83.0
100,46.0,29.0,64.0,11.0,126.0
101,70.0,32.0,31.0,54.0,82.0
102,80.0,40.0,51.0,53.0,115.0
103,65.0,54.0,55.0,81.0,119.0
104,65.0,2.0,52.0,63.0,106.0
105,44.0,45.0,73.0,56.0,91.0
106,53.0,39.0,63.0,60.0,21.0
107,65.0,53.0,59.0,45.0,81.0
108,26.0,40.0,66.0,55.0,89.0
109,40.0,19.0,50.0,67.0,61.0
110,59.0,33.0,60.0,68.0,73.0
111,38.0,57.0,58.0,57.0,214.0
112,74.0,48.0,68.0,214.0,103.0
113,46.0,47.0,4.0,91.0,96.0
114,17.0,60.0,52.0,97.0,83.0
115,47.0,6.0,31.0,35.0,110.0
116,57.0,54.0,63.0,68.0,160.0
117,50.0,46.0,51.0,75.0,139.0
118,14.0,17.0,16.0,43.0,182.0
119,80.0,15.0,31.0,12.0,79.0
120,51.0,4.0,43.0,61.0,140.0
121,68.0,61.0,51.0,141.0,120.0
122,76.0,54.0,38.0,45.0,125.0
123,53.0,65.0,47.0,35.0,129.0
124,29.0,21.0,65.0,53.0,31.0
125,49.0,68.0,63.0,71.0,102.0
126,58.0,61.0,61.0,66.0,87.0
127,58.0,46.0,32.0,52.0,164.0
128,50.0,52.0,45.0,56.0,110.0
129,76.0,21.0,55.0,65.0,163.0
130,57.0,52.0,53.0,59.0,134.0
131,55.0,59.0,54.0,50.0,381.0
132,43.0,12.0,78.0,52.0,5.0
133,65.0,59.0,81.0,62.0,62.0
134,48.0,78.0,73.0,53.0,33.0
135,63.0,37.0,30.0,53.0,55.0
136,40.0,67.0,44.0,34.0,42.0
137,48.0,60.0,41.0,59.0,22.0
138,44.0,55.0,21.0,56.0,15.0
139,26.0,66.0,46.0,85.0,53.0
140,12.0,73.0,36.0,57.0,41.0
141,15.0,91.0,22.0,57.0,3.0
142,50.0,62.0,40.0,34.0,109.0
143,45.0,102.0,48.0,75.0,48.0
144,51.0,56.0,10.0,59.0,36.0
145,37.0,71.0,3.0,66.0,35.0
146,56.0,67.0,21.0,36.0,12.0
147,13.0,57.0,45.0,56.0,24.0
148,31.0,72.0,49.0,66.0,11.0
149,23.0,68.0,48.0,56.0,22.0
150,57.0,26.0,69.0,61.0,48.0
151,44.0,58.0,51.0,56.0,4.0
152,53.0,64.0,58.0,42.0,46.0
153,22.0,48.0,62.0,7.0,30.0
154,4.0,70.0,102.0,61.0,73.0
155,17.0,56.0,43.0,51.0,15.0
156,32.0,54.0,76.0,9.0,53.0
157,64.0,72.0,28.0,67.0,23.0
158,13.0,68.0,116.0,137.0,13.0
159,44.0,74.0,22.0,91.0,48.0
160,85.0,59.0,99.0,23.0,44.0
161,60.0,68.0,70.0,38.0,97.0
162,101.0,70.0,57.0,15.0,153.0
163,55.0,59.0,19.0,13.0,166.0
164,22.0,67.0,124.0,21.0,138.0
165,14.0,102.0,6.0,147.0,134.0
166,90.0,68.0,58.0,93.0,151.0
167,58.0,55.0,91.0,40.0,269.0
168,31.0,96.0,11.0,130.0,89.0
169,21.0,61.0,11.0,13.0,155.0
170,50.0,44.0,71.0,13.0,83.0
171,50.0,52.0,138.0,170.0,10.0
172,89.0,5.0,49.0,55.0,201.0
173,57.0,84.0,71.0,80.0,148.0
174,80.0,22.0,108.0,49.0,76.0
175,26.0,15.0,66.0,18.0,16.0
176,37.0,51.0,122.0,115.0,27.0
177,71.0,36.0,5.0,47.0,27.0
178,87.0,97.0,118.0,16.0,73.0
179,51.0,53.0,98.0,7.0,204.0
180,51.0,72.0,59.0,35.0,64.0
