episode,run0,run1,run2,run3,run4
1,-92.41461275822039,-78.35688049998852,-83.0329099610519,-93.08930669896189,-85.94237008278802
2,-95.31468734076947,-94.96446539687908,-76.17726346112563,-85.05307867169296,-85.96746984912969
3,-81.58886959559803,-92.96375049140275,-87.93688348051865,-89.95058452712081,-88.23940449042757
4,-84.12843072082872,-88.61453719718588,-79.17721277808262,-98.09017526959954,-85.59260956895764
5,-82.54924415945831,-90.89508171258827,-94.78062471981737,-75.03247873730109,-91.52758733917494
6,-91.22133354004217,-87.03454044115762,-82.93497225168717,-79.9222840589014,-89.42168072403234
7,-83.77623606497828,-76.86300725504766,-78.02796770471723,-90.93710648950204,-81.77518901211437
8,-88.43189576494102,-83.94678182857271,-74.15532288960358,-90.61794081394518,-87.57143379324535
9,-89.67227938698366,-70.33964622353146,-89.49773356480094,-88.71719929704624,-79.53587091734848
10,-95.05530353350649,-89.3844440756998,-93.62843688319296,-93.72572014935594,-75.60005936017123
11,-87.45571938895154,-84.84589797031889,-88.88344558531045,-81.80919915448212,-85.43106325889077
12,-86.03040941397306,-71.16716784649748,-84.915753436775,-88.92641309319669,-93.16937925648621
13,-81.5529497544269,-85.63534163702396,-81.57195117182714,-94.36763922047564,-79.96883198054195
14,-92.83230665465818,-87.06729949000007,-88.44188407971862,-75.0036558780739,-76.08317916370824
15,-95.43235841110831,-84.40558001781844,-89.4017677804112,-83.52316975389701,-89.63516914707473
16,-85.09907768959997,-77.31403048113705,-80.30912407000717,-79.46574664768252,-77.47357158114595
17,-81.13715987480025,-99.3716826108869,-86.1797536464091,-92.0861152004997,-83.89919091996704
18,-86.2863541570819,-75.03720190301782,-88.61700321783297,-87.52589416662195,-74.7131736123425
19,-96.574105900401,-91.90329134271684,-89.04737640736957,-90.0678492712455,-86.43657148373201
20,-78.36788412705026,-87.97712367642943,-86.22510928596604,-86.33092956284496,-84.94439394005775
21,-79.32813967077051,-91.4467919385818,-89.73730243094631,-86.6002829704429,-86.75103227554033
22,-79.85452258455356,-78.3668694067176,-86.76049144415386,-71.45486420747632,-90.66487066049002
23,-89.9617075244287,-85.56740209325261,-84.9222713321011,-97.79495657342707,-80.63110503004206
24,-87.52465447553634,-78.1032799144308,-86.78348001851388,-90.64999639603259,-83.70365572497991
